Hey1,Hey1,2.50E-06,5.90E-05,2.59E+00,2.59E+00,5.54E+02,2.14E+02,
Tmem237,Tmem237,2.50E-06,5.90E-05,1.84E+00,1.84E+00,2.20E+02,1.20E+02,
Klhdc1,Klhdc1,2.55E-06,6.02E-05,5.34E-01,-1.87E+00,4.41E+02,8.25E+02,
Ighm,Ighm,2.57E-06,6.06E-05,2.37E-01,-4.22E+00,6.22E+01,2.63E+02,
Synj2,Synj2,2.58E-06,6.07E-05,6.28E-01,-1.59E+00,4.43E+02,7.05E+02,
Mylk,Mylk,2.64E-06,6.20E-05,1.64E+00,1.64E+00,7.07E+02,4.30E+02,
Gjc1,Gjc1,2.67E-06,6.25E-05,2.05E+00,2.05E+00,5.53E+02,2.70E+02,
Ttk,Ttk,2.69E-06,6.30E-05,1.08E+01,1.08E+01,3.76E+01,3.47E+00,
Enc1,Enc1,2.74E-06,6.41E-05,2.07E+00,2.07E+00,5.63E+02,2.73E+02,
Ackr4,Ackr4,2.76E-06,6.43E-05,2.16E+00,2.16E+00,3.38E+02,1.56E+02,
Septin11,Septin11,2.79E-06,6.48E-05,1.68E+00,1.68E+00,1.35E+03,8.03E+02,
Cyb561,Cyb561,2.85E-06,6.63E-05,1.83E+00,1.83E+00,8.16E+02,4.46E+02,
Lasp1,Lasp1,2.96E-06,6.86E-05,1.75E+00,1.75E+00,7.69E+02,4.39E+02,
Rsu1,Rsu1,2.97E-06,6.88E-05,1.59E+00,1.59E+00,1.95E+03,1.23E+03,
Scml4,Scml4,3.02E-06,6.98E-05,3.00E+00,3.00E+00,9.34E+01,3.11E+01,
Rnf207,Rnf207,3.08E-06,7.10E-05,5.78E-01,-1.73E+00,1.34E+03,2.32E+03,
Sptlc2,Sptlc2,3.14E-06,7.24E-05,1.95E+00,1.95E+00,5.30E+02,2.71E+02,
Pfn2,Pfn2,3.17E-06,7.29E-05,6.56E-01,-1.52E+00,1.10E+03,1.68E+03,
Cited2,Cited2,3.18E-06,7.29E-05,5.40E-01,-1.85E+00,9.02E+01,1.67E+02,
Sdcbp2,Sdcbp2,3.22E-06,7.38E-05,3.84E+00,3.84E+00,2.21E+02,5.77E+01,
Cfp,Cfp,3.24E-06,7.41E-05,2.37E+00,2.37E+00,6.55E+02,2.76E+02,
Cacna2d1,Cacna2d1,3.27E-06,7.46E-05,5.70E-01,-1.75E+00,1.07E+03,1.88E+03,
Mcm5,Mcm5,3.29E-06,7.50E-05,2.22E+00,2.22E+00,2.73E+02,1.23E+02,
Ly6c1,Ly6c1,3.32E-06,7.55E-05,2.23E+00,2.23E+00,1.06E+04,4.75E+03,
Kif20b,Kif20b,3.38E-06,7.68E-05,7.91E+00,7.91E+00,6.41E+01,8.10E+00,
Ska1,Ska1,3.42E-06,7.77E-05,1.90E+01,1.90E+01,2.61E+01,1.37E+00,
Mrgpre,Mrgpre,3.47E-06,7.86E-05,2.16E+00,2.16E+00,1.66E+02,7.69E+01,
Ldha,Ldha,3.49E-06,7.89E-05,2.08E+00,2.08E+00,6.21E+04,2.99E+04,
Fbn1,Fbn1,3.50E-06,7.91E-05,4.00E+00,4.00E+00,1.73E+03,4.33E+02,
Fbxo5,Fbxo5,3.51E-06,7.91E-05,4.79E+00,4.79E+00,5.98E+01,1.25E+01,
G2e3,G2e3,3.51E-06,7.91E-05,2.15E+00,2.15E+00,1.33E+02,6.18E+01,
Asb5,Asb5,3.52E-06,7.91E-05,4.97E-01,-2.01E+00,4.42E+02,8.90E+02,
Jcad,Jcad,3.69E-06,8.28E-05,1.51E+00,1.51E+00,9.60E+02,6.37E+02,
Ky,Ky,3.80E-06,8.50E-05,3.45E-01,-2.90E+00,7.98E+01,2.32E+02,
Ccnd1,Ccnd1,3.81E-06,8.51E-05,2.09E+00,2.09E+00,1.91E+03,9.15E+02,
